"No.";"Name";"Country";"Url"
"49";"Aken, Neuer Friedhof";"Deutschland";"https://kriegsgraeberstaetten.volksbund.de/friedhof/aken-neuer-friedhof"
"50";"Aktjubinsk";"Kasachstan";"https://kriegsgraeberstaetten.volksbund.de/friedhof/aktjubinsk"
"51";"Alapaewsk";"Russland";"https://kriegsgraeberstaetten.volksbund.de/friedhof/alapaewsk"
"52";"Alapajewsk";"Russland";"https://kriegsgraeberstaetten.volksbund.de/friedhof/alapajewsk"
"53";"Aldenhoven-Freialdenhoven";"Deutschland";"https://kriegsgraeberstaetten.volksbund.de/friedhof/aldenhoven-freialdenhoven"
"54";"Aldenhoven-Gemeindefriedhof";"Deutschland";"https://kriegsgraeberstaetten.volksbund.de/friedhof/aldenhoven-gemeindefriedhof"
"55";"Aldenhoven-katholischer Friedhof";"Deutschland";"https://kriegsgraeberstaetten.volksbund.de/friedhof/aldenhoven-katholischer-friedhof"
"56";"Aldenhoven-Schleiden";"Deutschland";"https://kriegsgraeberstaetten.volksbund.de/friedhof/aldenhoven-schleiden"
"57";"Aleppo/Syrien";"Syrien";"https://kriegsgraeberstaetten.volksbund.de/friedhof/alepposyrien"
"58";"Alfeld (Leine) - Dehnsen, Friedhof";"Deutschland";"https://kriegsgraeberstaetten.volksbund.de/friedhof/alfeld-leine-dehnsen-friedhof"
"59";"Alfeld/Leine - Föhrste, Ev.- luth. Ortsteilfriedhof";"Deutschland";"https://kriegsgraeberstaetten.volksbund.de/friedhof/alfeldleine-foehrste-ev-luth-ortsteilfriedhof"
"60";"Alfeld/Leine - Langenholzen, Ortsteilfriedhof";"Deutschland";"https://kriegsgraeberstaetten.volksbund.de/friedhof/alfeldleine-langenholzen-ortsteilfriedhof"
"61";"Alfeld/Leine - Limmer, Ev. Friedhof";"Deutschland";"https://kriegsgraeberstaetten.volksbund.de/friedhof/alfeldleine-limmer-ev-friedhof"
"62";"Alfeld/Leine - Sack, Ev.- luth. Ortsteilfriedhof";"Deutschland";"https://kriegsgraeberstaetten.volksbund.de/friedhof/alfeldleine-sack-ev-luth-ortsteilfriedhof"
"63";"Alfeld/Leine, Stadtfriedhof";"Deutschland";"https://kriegsgraeberstaetten.volksbund.de/friedhof/alfeldleine-stadtfriedhof"
"64";"Alfter-Gemeindefriedhof";"Deutschland";"https://kriegsgraeberstaetten.volksbund.de/friedhof/alfter-gemeindefriedhof"
"65";"Alfter-Gielsdorf-Gemeindefriedhof";"Deutschland";"https://kriegsgraeberstaetten.volksbund.de/friedhof/alfter-gielsdorf-gemeindefriedhof"
"66";"Alfter-Witterschlick-Gemeindefriedhof";"Deutschland";"https://kriegsgraeberstaetten.volksbund.de/friedhof/alfter-witterschlick-gemeindefriedhof"
"67";"Algermissen - Bledeln, Friedhof";"Deutschland";"https://kriegsgraeberstaetten.volksbund.de/friedhof/algermissen-bledeln-friedhof"
"68";"Algermissen - Lühnde, Friedhof";"Deutschland";"https://kriegsgraeberstaetten.volksbund.de/friedhof/algermissen-luehnde-friedhof"
"69";"Algermissen, Kath. Friedhof";"Deutschland";"https://kriegsgraeberstaetten.volksbund.de/friedhof/algermissen-kath-friedhof"
"70";"Algrange";"Frankreich";"https://kriegsgraeberstaetten.volksbund.de/friedhof/algrange"
"71";"Aljanowo";"Belarus";"https://kriegsgraeberstaetten.volksbund.de/friedhof/aljanowo"
